,load,alloc,reward,sigma,event_start_time,event_end_time
1684924671.065442,39.846839904785156,1.0,0.20000000298023224,0.5,1684924671.065442,1684924683.2872393
1684924683.613682,40.976531982421875,1.0,0.13953489065170288,0.5,1684924683.613682,1684924695.0592577
1684925497.2358344,46.65032196044922,1.0,0.0,0.5,1684925497.2358344,1684925508.0610542
1684925508.4946914,49.8194694519043,1.0,0.0,0.5,1684925508.4946914,1684925518.5309286
1684925518.7017946,49.618133544921875,1.0,0.0,0.5,1684925518.7017946,1684925528.8392172
1684925529.04846,43.60884475708008,1.0,0.0,0.5,1684925529.04846,1684925539.1152248
1684925539.5480514,49.884376525878906,1.0,0.0,0.5,1684925539.5480514,1684925549.5712297
1684925549.9281173,43.773887634277344,1.0,0.0,0.5,1684925549.9281173,1684925559.956927
1684925560.1215632,49.37236404418945,1.0,0.0,0.5,1684925560.1215632,1684925570.2689407
1684925570.4913347,44.98655319213867,1.0,0.0,0.5,1684925570.4913347,1684925580.516553
1684925580.7118902,45.80537796020508,1.0,0.0,0.5,1684925580.7118902,1684925590.7543793
1684925591.3778837,39.43722915649414,1.0,0.0,0.5,1684925591.3778837,1684925601.4952276
1684925601.9065754,44.98896408081055,1.0,0.0,0.5,1684925601.9065754,1684925611.9312563
1684925612.0885382,41.10993194580078,1.0,0.0,0.5,1684925612.0885382,1684925622.1347718
1684925622.4196932,39.7401123046875,1.0,0.0,0.5,1684925622.4196932,1684925632.4599261
1684925632.5940688,37.82919692993164,1.0,0.0,0.5,1684925632.5940688,1684925642.6392202
1684925642.8427896,37.7989616394043,1.0,0.0,0.5,1684925642.8427896,1684925652.8695202
1684925653.009936,40.5125732421875,1.0,0.0,0.5,1684925653.009936,1684925663.0562
1684925663.3363278,40.362281799316406,1.0,0.0,0.5,1684925663.3363278,1684925673.3952243
1684925673.6779022,41.1435432434082,1.0,0.0,0.5,1684925673.6779022,1684925683.7402341
1684925683.9169765,40.827484130859375,1.0,0.0,0.5,1684925683.9169765,1684925693.9592311
1684925694.300687,38.8909797668457,1.0,0.0,0.5,1684925694.300687,1684925704.328719
1684925704.551534,37.45779037475586,1.0,0.0,0.5,1684925704.551534,1684925714.6962864
1684925714.8428812,37.230655670166016,1.0,0.0,0.5,1684925714.8428812,1684925724.9152262
1684925725.178759,45.52473831176758,1.0,0.0,0.5,1684925725.178759,1684925735.239223
