,load,alloc,reward,sigma,event_start_time,event_end_time
1684924939.7334447,1.0,4.0,18.362333297729492,26.51219940185547,1684924939.7334447,1684924967.6166122
1684924993.1537142,1.0,5.0,31.878957748413086,43.72129821777344,1684924993.1537142,1684925019.5661209
1684925020.1894374,1.0,5.0,20.625829696655273,43.948482513427734,1684925020.1894374,1684925061.1574874
1684925061.5527816,1.0,5.0,27.458011627197266,45.471527099609375,1684925061.5527816,1684925093.4196193
1684925093.8219075,1.0,5.0,33.34312057495117,46.07851791381836,1684925093.8219075,1684925120.3341222
1684925120.7031245,1.0,5.0,23.207271575927734,44.8865852355957,1684925120.7031245,1684925158.0621035
1684925158.4736674,1.0,5.0,23.685047149658203,45.68278884887695,1684925158.4736674,1684925195.6701305
1684925196.1142542,1.0,5.0,21.624311447143555,37.82846450805664,1684925196.1142542,1684925229.4101112
1684925680.5332103,1.0,5.0,25.172025680541992,38.17690658569336,1684925680.5332103,1684925709.8911982
1684925710.4495573,1.0,5.0,23.18998908996582,42.77165222167969,1684925710.4495573,1684925745.9821308
1684925746.5067265,1.0,5.0,19.679946899414062,37.0597038269043,1684925746.5067265,1684925782.8381238
1684925783.361121,1.0,5.0,16.090801239013672,32.16080093383789,1684925783.361121,1684925822.3896291
1684925822.8644907,1.0,5.0,24.134641647338867,41.238311767578125,1684925822.8644907,1684925855.846129
