,load,alloc,reward,sigma,event_start_time,event_end_time
1684920615.1574988,43.78213119506836,1.0,0.20212766528129578,0.5,1684920615.1574988,1684920625.2986221
1684925524.7841687,45.865482330322266,1.0,0.0,0.5,1684925524.7841687,1684925535.7946274
1684925535.9776788,48.44351577758789,1.0,0.0,0.5,1684925535.9776788,1684925546.030624
1684925546.1680555,49.75898361206055,1.0,0.0,0.5,1684925546.1680555,1684925556.2566857
1684925556.3940647,43.29916000366211,1.0,0.0,0.5,1684925556.3940647,1684925566.4866393
1684925566.7537699,48.93914794921875,1.0,0.0,0.5,1684925566.7537699,1684925576.786638
1684925577.0015728,43.1055793762207,1.0,0.0,0.5,1684925577.0015728,1684925587.1626706
1684925587.454824,49.72175979614258,1.0,0.0,0.5,1684925587.454824,1684925597.4906716
1684925597.6009765,44.8127326965332,1.0,0.0,0.5,1684925597.6009765,1684925607.6427653
1684925607.7527332,46.21379470825195,1.0,0.0,0.5,1684925607.7527332,1684925617.793025
1684925617.9668093,37.36343002319336,1.0,0.0,0.5,1684925617.9668093,1684925628.003361
1684925628.2254083,44.13555145263672,1.0,0.0,0.5,1684925628.2254083,1684925638.2626681
1684925638.4356327,41.239192962646484,1.0,0.0,0.5,1684925638.4356327,1684925648.4746265
1684925648.7467828,39.88264083862305,1.0,0.0,0.5,1684925648.7467828,1684925658.8514295
1684925659.1035619,38.9265022277832,1.0,0.0,0.5,1684925659.1035619,1684925669.2765794
1684925670.0113811,39.2811279296875,1.0,0.0,0.5,1684925670.0113811,1684925680.0416427
1684925680.3668172,40.9859733581543,1.0,0.0,0.5,1684925680.3668172,1684925690.394638
1684925690.5851495,39.99811553955078,1.0,0.0,0.5,1684925690.5851495,1684925700.6106222
1684925700.8486004,40.9776725769043,1.0,0.0,0.5,1684925700.8486004,1684925710.9028566
1684925711.0943146,40.870819091796875,1.0,0.0,0.5,1684925711.0943146,1684925721.1259212
1684925721.3221767,38.37540054321289,1.0,0.0,0.5,1684925721.3221767,1684925731.3546453
1684925731.5058076,36.9197998046875,1.0,0.0,0.5,1684925731.5058076,1684925741.5546162
1684925741.954838,38.49299621582031,1.0,0.0,0.5,1684925741.954838,1684925751.9826362
1684925752.1288478,44.714263916015625,1.0,0.0,0.5,1684925752.1288478,1684925762.2598429
1684925762.4537332,41.574337005615234,1.0,0.0,0.5,1684925762.4537332,1684925772.5080125
1684925773.143258,45.74669647216797,1.0,0.0,0.5,1684925773.143258,1684925783.198629
1684925783.3701134,41.282283782958984,1.0,0.0,0.5,1684925783.3701134,1684925793.3986287
1684925793.650101,37.788883209228516,1.0,0.0,0.5,1684925793.650101,1684925803.6795053
1684925803.937949,38.090850830078125,1.0,0.0,0.5,1684925803.937949,1684925813.9666035
1684925814.3746357,43.06669235229492,1.0,0.0,0.5,1684925814.3746357,1684925824.405589
1684925824.8254392,43.30039596557617,1.0,0.0,0.5,1684925824.8254392,1684925834.894631
1684925835.5614362,38.5867919921875,1.0,0.0,0.5,1684925835.5614362,1684925845.6426063
1684925845.8569517,36.00407409667969,1.0,0.0,0.5,1684925845.8569517,1684925855.8835952
1684925856.0249906,36.81304931640625,1.0,0.0,0.5,1684925856.0249906,1684925866.1301033
1684925866.4132488,40.80765151977539,1.0,0.0,0.5,1684925866.4132488,1684925876.484889
1684925876.7313309,44.905582427978516,1.0,0.0,0.5,1684925876.7313309,1684925886.7746253
1684925886.9537485,40.83946228027344,1.0,0.0,0.5,1684925886.9537485,1684925897.0175443
1684925897.713134,45.99721908569336,1.0,0.0,0.5,1684925897.713134,1684925907.9746237
1684925908.1624393,39.525333404541016,1.0,0.0,0.5,1684925908.1624393,1684925918.2066305
1684925918.423439,40.09852981567383,1.0,0.0,0.5,1684925918.423439,1684925928.4986212
1684925928.722075,42.40090560913086,1.0,0.0,0.5,1684925928.722075,1684925938.7690306
