,load,alloc,reward,sigma,event_start_time,event_end_time
1684925719.2601056,48.97054672241211,1.0,0.0,0.5,1684925719.2601056,1684925729.2865407
1684925729.4530296,46.1625862121582,1.0,0.20000000298023224,0.5,1684925729.4530296,1684925741.909004
1684925755.6221354,40.70328903198242,2.0,0.12765957415103912,0.5,1684925755.6221354,1684925767.3165226
1684925767.433807,42.668731689453125,2.0,0.054054055362939835,0.5,1684925767.433807,1684925778.7770076
1684925779.059276,39.25727844238281,2.0,0.10000000149011612,0.5,1684925779.059276,1684925792.0250247
1684925792.4811301,37.07563781738281,2.0,0.18978102505207062,0.5,1684925792.4811301,1684925806.021018
1684925806.2112818,40.370849609375,2.0,0.11290322244167328,0.5,1684925806.2112818,1684925820.6771648
1684925820.8440182,39.775211334228516,2.0,0.14516128599643707,0.5,1684925820.8440182,1684925835.0991273
1684925835.2783911,40.071590423583984,2.0,0.1450381726026535,0.5,1684925835.2783911,1684925849.1036472
1684925849.2144341,39.58654022216797,2.0,0.11811023950576782,0.5,1684925849.2144341,1684925863.2848732
1684925863.5143452,36.36497116088867,2.0,0.16923077404499054,0.5,1684925863.5143452,1684925878.116309
1684925878.3698928,42.73832321166992,2.0,0.16326530277729034,0.5,1684925878.3698928,1684925892.2450273
1684925892.5587068,42.41275405883789,2.0,0.1782945692539215,0.5,1684925892.5587068,1684925907.1062176
1684925907.2534966,41.785743713378906,2.0,0.1985294073820114,0.5,1684925907.2534966,1684925921.4210076
1684925921.7960575,39.867515563964844,2.0,0.15671642124652863,0.5,1684925921.7960575,1684925935.0650055
1684925935.247131,37.89132308959961,2.0,0.11570248007774353,0.5,1684925935.247131,1684925948.865025
1684925949.1300411,41.52622985839844,2.0,0.10687022656202316,0.5,1684925949.1300411,1684925963.3379283
1684925963.5160124,38.894142150878906,2.0,0.15107913315296173,0.5,1684925963.5160124,1684925977.297008
1684925977.6685266,36.037025451660156,2.0,0.1587301641702652,0.5,1684925977.6685266,1684925992.6253667
1684925992.7976794,39.16106414794922,2.0,0.15909090638160706,0.5,1684925992.7976794,1684926007.250811
1684926007.6436994,43.43427276611328,2.0,0.1875,0.5,1684926007.6436994,1684926021.3425589
1684926021.5153394,42.14980697631836,2.0,0.15107913315296173,0.5,1684926021.5153394,1684926035.5367558
1684926035.9073937,41.81462097167969,2.0,0.192592591047287,0.5,1684926035.9073937,1684926049.3715832
