,load,alloc,reward,sigma,event_start_time,event_end_time
1684858259.5581877,38.694393157958984,2.0,0.1682243049144745,0.5,1684858259.5581877,1684858276.9508886
1684858277.7114398,39.827919006347656,2.0,0.20000000298023224,0.5,1684858277.7114398,1684858294.0567575
1684858294.71094,38.51377487182617,2.0,0.13513512909412384,0.5,1684858294.71094,1684858309.8224158
1684858310.7760317,41.302303314208984,2.0,0.20909090340137482,0.5,1684858310.7760317,1684858325.690454
1684858326.407831,36.8300895690918,2.0,0.1984127014875412,0.5,1684858326.407831,1684858339.7393217
1684858340.2687497,37.70459747314453,2.0,0.12962962687015533,0.5,1684858340.2687497,1684858359.8950038
1684858360.0616436,41.23385238647461,2.0,0.12962962687015533,0.5,1684858360.0616436,1684858378.6871157
1684858378.978309,39.28192901611328,2.0,0.2017543911933899,0.5,1684858378.978309,1684858395.1689599
1684858395.5362782,35.85771179199219,2.0,0.10891088843345642,0.5,1684858395.5362782,1684858412.9383924
1684858413.3435838,39.528175354003906,2.0,0.12844036519527435,0.5,1684858413.3435838,1684858429.6104622
1684858430.0549757,37.3581657409668,2.0,0.029411764815449715,0.5,1684858430.0549757,1684858446.9187582
1684858447.2194767,34.6670036315918,2.0,0.14018692076206207,0.5,1684858447.2194767,1684858465.0750728
1684858465.3587363,38.66114044189453,2.0,0.125,0.5,1684858465.3587363,1684858482.766396
1684858483.2267017,41.57582092285156,2.0,0.09278350323438644,0.5,1684858483.2267017,1684858497.778429
1684858498.12475,42.461116790771484,2.0,0.1568627506494522,0.5,1684858498.12475,1684858509.5705159
1684858510.1564617,38.323909759521484,2.0,0.10638298094272614,0.5,1684858510.1564617,1684858528.0304217
1684858528.279109,39.173709869384766,2.0,0.1875,0.5,1684858528.279109,1684858543.9784136
1684858544.3836474,37.271270751953125,2.0,0.1785714328289032,0.5,1684858544.3836474,1684858562.789245
1684858563.3071175,37.0576171875,2.0,0.1964285671710968,0.5,1684858563.3071175,1684858581.9267712
1684858582.5250201,37.73480224609375,2.0,0.10526315867900848,0.5,1684858582.5250201,1684858596.5704095
1684858596.9245157,36.07832717895508,2.0,0.18918919563293457,0.5,1684858596.9245157,1684858612.6680393
1684858613.1052759,37.759578704833984,2.0,0.20183485746383667,0.5,1684858613.1052759,1684858627.1944156
1684858627.8376138,38.16427993774414,2.0,0.19266055524349213,0.5,1684858627.8376138,1684858644.056969
1684858644.2658195,33.15862274169922,2.0,0.1666666716337204,0.5,1684858644.2658195,1684858659.6464336
1684858660.0251882,37.62692642211914,2.0,0.18584071099758148,0.5,1684858660.0251882,1684858677.7784317
1684858678.339533,39.757225036621094,2.0,0.16814158856868744,0.5,1684858678.339533,1684858697.0782647
1684858697.2937179,37.82251739501953,2.0,0.17543859779834747,0.5,1684858697.2937179,1684858712.866451
1684858713.3684845,41.6302375793457,2.0,0.18803419172763824,0.5,1684858713.3684845,1684858724.7304177
1684858725.3877487,38.093692779541016,2.0,0.14414414763450623,0.5,1684858725.3877487,1684858742.8184555
1684858743.4980533,38.24776077270508,2.0,0.20338982343673706,0.5,1684858743.4980533,1684858761.1984365
1684858761.792995,37.072288513183594,2.0,0.14423076808452606,0.5,1684858761.792995,1684858779.21841
1684858779.8285358,38.457332611083984,2.0,0.18421052396297455,0.5,1684858779.8285358,1684858797.0944235
1684858797.369547,36.73593521118164,2.0,0.17272727191448212,0.5,1684858797.369547,1684858813.8384354
1684858814.3607454,35.49641036987305,2.0,0.0824742242693901,0.5,1684858814.3607454,1684858831.6864414
1684858832.2962217,41.419227600097656,2.0,0.1964285671710968,0.5,1684858832.2962217,1684858847.4824061
1684858848.1883972,37.10118103027344,2.0,0.032967034727334976,0.5,1684858848.1883972,1684858864.710783
1684858865.1472516,34.67567443847656,2.0,0.125,0.5,1684858865.1472516,1684858881.2103863
1684858881.3957195,36.60354995727539,2.0,0.14000000059604645,0.5,1684858881.3957195,1684858897.8148928
1684858898.6236851,36.80500411987305,2.0,0.19298245012760162,0.5,1684858898.6236851,1684858913.8661776
1684858914.265585,40.075767517089844,2.0,0.12871287763118744,0.5,1684858914.265585,1684858932.8304188
1684858933.105334,37.48428726196289,2.0,0.12264151126146317,0.5,1684858933.105334,1684858947.911538
1684858948.1969185,36.064178466796875,2.0,0.18803419172763824,0.5,1684858948.1969185,1684858964.7784684
1684858965.0307415,39.69772720336914,2.0,0.1818181872367859,0.5,1684858965.0307415,1684858977.298446
1684858977.8777177,35.54254913330078,2.0,0.16326530277729034,0.5,1684858977.8777177,1684858995.4904113
1684858995.9253726,38.7772102355957,2.0,0.1834862381219864,0.5,1684858995.9253726,1684859013.2809272
1684859013.6166902,37.29819107055664,2.0,0.18965516984462738,0.5,1684859013.6166902,1684859031.526405
1684859032.2920558,39.718692779541016,2.0,0.13592232763767242,0.5,1684859032.2920558,1684859047.7004178
1684859047.9906254,39.19823455810547,2.0,0.08571428805589676,0.5,1684859047.9906254,1684859065.5424366
1684859066.0017521,39.935340881347656,2.0,0.18965516984462738,0.5,1684859066.0017521,1684859080.6504314
1684859081.0226974,38.63177490234375,2.0,0.1735537201166153,0.5,1684859081.0226974,1684859094.6384318
1684859094.9324722,35.97678756713867,2.0,0.13592232763767242,0.5,1684859094.9324722,1684859112.082419
1684859112.447743,35.984561920166016,2.0,0.0784313753247261,0.5,1684859112.447743,1684859129.2049284
1684859129.546722,36.13971710205078,2.0,0.09677419066429138,0.5,1684859129.546722,1684859147.3664522
1684859147.9876628,36.941810607910156,2.0,0.203125,0.5,1684859147.9876628,1684859161.982645
1684859162.4919753,35.96860122680664,2.0,0.19354838132858276,0.5,1684859162.4919753,1684859176.698811
1684859177.3324354,36.74493408203125,2.0,0.1666666716337204,0.5,1684859177.3324354,1684859191.5384758
1684859192.2580237,35.083560943603516,2.0,0.1875,0.5,1684859192.2580237,1684859204.7425027
1684859205.3646832,39.41405487060547,2.0,0.1746031790971756,0.5,1684859205.3646832,1684859218.938521
1684859219.40799,37.5984992980957,2.0,0.190476194024086,0.5,1684859219.40799,1684859229.4881794
1684859229.9245174,38.39997482299805,2.0,0.190476194024086,0.5,1684859229.9245174,1684859243.622443
1684859243.900465,38.824710845947266,2.0,0.020408162847161293,0.5,1684859243.900465,1684859256.1864545
1684859257.0152626,40.212806701660156,2.0,0.190476194024086,0.5,1684859257.0152626,1684859271.3390574
1684859271.741915,42.65705108642578,2.0,0.09259258955717087,0.5,1684859271.741915,1684859285.01053
1684859285.5998883,38.103145599365234,2.0,0.057692307978868484,0.5,1684859285.5998883,1684859296.3863997
1684859297.0069938,34.397708892822266,2.0,0.1785714328289032,0.5,1684859297.0069938,1684859315.55474
1684859315.8018417,35.400001525878906,2.0,0.08163265138864517,0.5,1684859315.8018417,1684859333.5984507
1684859334.2417903,36.63068389892578,2.0,0.19130434095859528,0.5,1684859334.2417903,1684859350.7306993
