,load,alloc,reward,sigma,event_start_time,event_end_time
1684900111.0107107,19.002918243408203,2.0,0.1411764770746231,0.5,1684900111.0107107,1684900123.6403494
1684900123.988044,17.660980224609375,2.0,0.03773584961891174,0.5,1684900123.988044,1684900137.1243484
1684900137.420158,19.423948287963867,2.0,0.11764705926179886,0.5,1684900137.420158,1684900151.9383185
1684900152.2054887,20.524642944335938,2.0,0.1587301641702652,0.5,1684900152.2054887,1684900165.8963485
1684900180.476893,19.309368133544922,2.0,0.171875,0.5,1684900180.476893,1684900192.647151
1684900192.826275,17.52788734436035,2.0,0.12195122241973877,0.5,1684900192.826275,1684900207.260416
1684900207.5331802,20.055065155029297,2.0,0.20143884420394897,0.5,1684900207.5331802,1684900221.6443286
1684900221.8163488,18.172998428344727,2.0,0.1111111119389534,0.5,1684900221.8163488,1684900238.3243573
1684900238.4532957,17.41153907775879,2.0,0.1428571492433548,0.5,1684900238.4532957,1684900251.720359
1684900251.948432,18.11811065673828,2.0,0.10833333432674408,0.5,1684900251.948432,1684900265.4708126
1684900265.6526055,20.62478256225586,2.0,0.09090909361839294,0.5,1684900265.6526055,1684900278.0163722
1684900278.9343846,20.78841781616211,2.0,0.19548872113227844,0.5,1684900278.9343846,1684900292.8363569
1684900293.0230865,20.570425033569336,2.0,0.1782945692539215,0.5,1684900293.0230865,1684900307.7043586
1684900307.9918334,18.467437744140625,2.0,0.17557251453399658,0.5,1684900307.9918334,1684900322.7204607
1684900322.8837755,19.612394332885742,2.0,0.10400000214576721,0.5,1684900322.8837755,1684900337.5683677
1684900337.6644192,18.228473663330078,2.0,0.11864406615495682,0.5,1684900337.6644192,1684900351.3243666
1684900351.516098,19.257829666137695,2.0,0.13709677755832672,0.5,1684900351.516098,1684900365.5363688
1684900365.792224,17.427215576171875,2.0,0.12280701845884323,0.5,1684900365.792224,1684900380.2523656
1684900380.4946687,18.13322639465332,2.0,0.13385826349258423,0.5,1684900380.4946687,1684900395.1087253
1684900395.64965,18.703174591064453,2.0,0.17741934955120087,0.5,1684900395.64965,1684900410.6203713
1684900411.056153,19.444299697875977,2.0,0.2030075192451477,0.5,1684900411.056153,1684900425.353402
1684900425.6955576,17.96455955505371,2.0,0.10833333432674408,0.5,1684900425.6955576,1684900439.7231765
1684900440.021783,17.250240325927734,2.0,0.1463414579629898,0.5,1684900440.021783,1684900454.4563653
1684900454.7252367,18.85923194885254,2.0,0.1958041936159134,0.5,1684900454.7252367,1684900470.2083702
1684900470.6436813,20.0546875,2.0,0.11864406615495682,0.5,1684900470.6436813,1684900485.7523692
1684900486.0202308,18.440027236938477,2.0,0.13445378839969635,0.5,1684900486.0202308,1684900499.7403834
1684900499.9439313,19.965673446655273,2.0,0.12068965286016464,0.5,1684900499.9439313,1684900514.1683447
1684900514.3151453,18.55084800720215,2.0,0.20769231021404266,0.5,1684900514.3151453,1684900528.2767718
1684900528.536066,19.383384704589844,2.0,0.1782945692539215,0.5,1684900528.536066,1684900544.374374
1684900544.6254547,17.755619049072266,2.0,0.1428571492433548,0.5,1684900544.6254547,1684900558.536544
1684900558.7297728,18.52812385559082,2.0,0.14529915153980255,0.5,1684900558.7297728,1684900573.0323539
1684900573.3280234,19.069828033447266,2.0,0.125,0.5,1684900573.3280234,1684900586.7523706
1684900586.9832335,18.263172149658203,2.0,0.13114753365516663,0.5,1684900586.9832335,1684900600.2886982
1684900600.5419667,17.60888671875,2.0,0.125,0.5,1684900600.5419667,1684900614.3986068
1684900614.5671782,17.528295516967773,2.0,0.1525423675775528,0.5,1684900614.5671782,1684900628.373426
1684900628.7226567,21.480388641357422,2.0,0.15000000596046448,0.5,1684900628.7226567,1684900642.2698977
1684900642.4300394,18.035308837890625,2.0,0.1160714253783226,0.5,1684900642.4300394,1684900656.6244185
1684900656.8498764,16.957862854003906,2.0,0.1846153885126114,0.5,1684900656.8498764,1684900670.6487844
1684900670.851378,19.064983367919922,2.0,0.14516128599643707,0.5,1684900670.851378,1684900683.4923542
1684900683.8967826,16.602092742919922,2.0,0.18978102505207062,0.5,1684900683.8967826,1684900697.208358
1684900697.376613,18.940811157226562,2.0,0.12173912674188614,0.5,1684900697.376613,1684900711.4203625
1684900711.6620765,20.19032096862793,2.0,0.11206896603107452,0.5,1684900711.6620765,1684900725.530108
1684900725.726791,18.465402603149414,2.0,0.11999999731779099,0.5,1684900725.726791,1684900739.4822457
