,load,alloc,reward,sigma,event_start_time,event_end_time
1684855805.7776601,40.592079162597656,1.0,0.13924050331115723,0.5,1684855805.7776601,1684855819.7459025
1684855820.1213727,40.7431755065918,1.0,0.1807228922843933,0.5,1684855820.1213727,1684855833.4978454
1684855833.8789105,41.837825775146484,1.0,0.10810811072587967,0.5,1684855833.8789105,1684855846.8575964
1684855847.140226,38.040287017822266,1.0,0.17241379618644714,0.5,1684855847.140226,1684855860.2578974
1684855860.5145452,37.35837173461914,1.0,0.20000000298023224,0.5,1684855860.5145452,1684855872.3458958
1684855872.7400389,42.72822570800781,1.0,0.1785714328289032,0.5,1684855872.7400389,1684855884.1142528
1684855884.3976948,43.426788330078125,1.0,0.2068965584039688,0.5,1684855884.3976948,1684855898.6745973
1684855898.983127,41.37278366088867,1.0,0.12162162363529205,0.5,1684855898.983127,1684855910.8991737
1684855911.0967069,40.74955749511719,1.0,0.14102564752101898,0.5,1684855911.0967069,1684855923.0232165
1684855923.3465466,37.66749572753906,1.0,0.1910112351179123,0.5,1684855923.3465466,1684855936.6471384
1684855937.0393326,41.78580093383789,1.0,0.18888889253139496,0.5,1684855937.0393326,1684855951.5418673
1684855951.7414012,39.73722839355469,1.0,0.125,0.5,1684855951.7414012,1684855964.4498868
1684855964.6027722,36.00873947143555,1.0,0.21176470816135406,0.5,1684855964.6027722,1684855977.794014
1684855978.157187,38.63001251220703,1.0,0.19565217196941376,0.5,1684855978.157187,1684855992.912554
1684855993.1415675,42.109962463378906,1.0,0.18390804529190063,0.5,1684855993.1415675,1684856008.007408
1684856008.3257294,41.16785430908203,1.0,0.2142857164144516,0.5,1684856008.3257294,1684856023.0459528
1684856023.2605484,43.847076416015625,1.0,0.13414634764194489,0.5,1684856023.2605484,1684856036.3058884
1684856036.9013963,40.55699157714844,1.0,0.19767442345619202,0.5,1684856036.9013963,1684856050.4379034
1684856050.9213126,41.861778259277344,1.0,0.12195122241973877,0.5,1684856050.9213126,1684856064.4658883
1684856064.8530633,38.544761657714844,1.0,0.1882352977991104,0.5,1684856064.8530633,1684856077.4098923
1684856077.7730947,41.6524543762207,1.0,0.2142857164144516,0.5,1684856077.7730947,1684856091.8178856
1684856092.1223679,37.71266555786133,1.0,0.17241379618644714,0.5,1684856092.1223679,1684856105.4865782
1684856105.8960469,39.00291442871094,1.0,0.18390804529190063,0.5,1684856105.8960469,1684856119.6898875
1684856120.031313,37.94659423828125,1.0,0.17977528274059296,0.5,1684856120.031313,1684856134.3408978
1684856134.8342466,39.8576774597168,1.0,0.13333334028720856,0.5,1684856134.8342466,1684856149.9379869
1684856150.1946301,39.57633590698242,1.0,0.20224718749523163,0.5,1684856150.1946301,1684856163.2579925
1684856163.53481,35.896873474121094,1.0,0.1184210553765297,0.5,1684856163.53481,1684856177.79789
1684856178.0109339,36.05463790893555,1.0,0.18390804529190063,0.5,1684856178.0109339,1684856191.407269
1684856191.8381248,44.44032669067383,1.0,0.21250000596046448,0.5,1684856191.8381248,1684856205.541895
1684856205.9120507,39.8804931640625,1.0,0.18888889253139496,0.5,1684856205.9120507,1684856219.6029544
1684856219.7550223,39.707069396972656,1.0,0.1764705926179886,0.5,1684856219.7550223,1684856233.6820133
1684856234.142919,43.01842498779297,1.0,0.18518517911434174,0.5,1684856234.142919,1684856246.9978755
1684856247.5478084,39.51937484741211,1.0,0.19767442345619202,0.5,1684856247.5478084,1684856261.8698971
1684856262.0483203,40.29279708862305,1.0,0.20000000298023224,0.5,1684856262.0483203,1684856276.3188605
1684856276.6478033,38.010902404785156,1.0,0.1267605572938919,0.5,1684856276.6478033,1684856290.4859388
1684856290.6511755,38.41971206665039,1.0,0.1744185984134674,0.5,1684856290.6511755,1684856304.1858938
1684856304.5389524,40.9336051940918,1.0,0.1808510571718216,0.5,1684856304.5389524,1684856318.1219246
1684856318.3900588,38.819496154785156,1.0,0.10526315867900848,0.5,1684856318.3900588,1684856332.377876
1684856332.7199206,35.74092483520508,1.0,0.18518517911434174,0.5,1684856332.7199206,1684856346.1778827
1684856346.3810642,38.3189582824707,1.0,0.20224718749523163,0.5,1684856346.3810642,1684856360.6298857
1684856360.906142,44.89761734008789,1.0,0.16853933036327362,0.5,1684856360.906142,1684856374.3144264
1684856374.7757082,38.41984939575195,1.0,0.20224718749523163,0.5,1684856374.7757082,1684856388.2062664
1684856388.3559856,35.127071380615234,1.0,0.1666666716337204,0.5,1684856388.3559856,1684856401.906788
1684856402.26965,40.2464714050293,1.0,0.10126582533121109,0.5,1684856402.26965,1684856415.5378935
1684856415.7409172,35.647525787353516,1.0,0.12195122241973877,0.5,1684856415.7409172,1684856429.0938783
1684856429.611756,40.826698303222656,1.0,0.1190476194024086,0.5,1684856429.611756,1684856442.813902
1684856443.1060631,42.54602813720703,1.0,0.12941177189350128,0.5,1684856443.1060631,1684856456.9498935
1684856457.1393147,39.36530303955078,1.0,0.1818181872367859,0.5,1684856457.1393147,1684856470.2981107
1684856470.598338,37.67814254760742,1.0,0.13513512909412384,0.5,1684856470.598338,1684856484.1605775
1684856484.4132304,41.070396423339844,1.0,0.1428571492433548,0.5,1684856484.4132304,1684856497.317903
1684856497.441311,37.75565719604492,1.0,0.16470588743686676,0.5,1684856497.441311,1684856508.0622363
1684856508.5868368,39.30092239379883,1.0,0.1764705926179886,0.5,1684856508.5868368,1684856521.4618528
1684856521.7465138,39.74625015258789,1.0,0.1818181872367859,0.5,1684856521.7465138,1684856536.1126494
1684856536.315414,38.58345413208008,1.0,0.12195122241973877,0.5,1684856536.315414,1684856548.781898
1684856549.142901,43.64466857910156,1.0,0.12328767031431198,0.5,1684856549.142901,1684856562.729898
1684856563.022277,40.50798034667969,1.0,0.1860465109348297,0.5,1684856563.022277,1684856575.809881
1684856576.3313615,41.3219108581543,1.0,0.14102564752101898,0.5,1684856576.3313615,1684856589.6898916
1684856590.0754888,41.22206497192383,1.0,0.21176470816135406,0.5,1684856590.0754888,1684856603.4178581
1684856603.6094956,38.839744567871094,1.0,0.20000000298023224,0.5,1684856603.6094956,1684856615.7619958
1684856616.3963983,40.06096649169922,1.0,0.125,0.5,1684856616.3963983,1684856627.2298868
1684856627.4199176,37.18878936767578,1.0,0.18390804529190063,0.5,1684856627.4199176,1684856640.9723883
1684856641.2385728,38.18086624145508,1.0,0.20454545319080353,0.5,1684856641.2385728,1684856655.6698854
1684856655.9470732,38.6025505065918,1.0,0.125,0.5,1684856655.9470732,1684856669.3658752
1684856669.5152545,38.45280838012695,1.0,0.20224718749523163,0.5,1684856669.5152545,1684856681.1658995
1684856681.3684716,37.40652084350586,1.0,0.18390804529190063,0.5,1684856681.3684716,1684856695.0024579
