,load,alloc,reward,sigma,event_start_time,event_end_time
1684855831.4304378,47.26517105102539,1.0,0.1882352977991104,0.5,1684855831.4304378,1684855845.901982
1684855846.4177375,44.17051315307617,1.0,0.1818181872367859,0.5,1684855846.4177375,1684855861.8579025
1684855862.388925,44.93476104736328,1.0,0.20879121124744415,0.5,1684855862.388925,1684855878.3899
1684855878.840349,45.820411682128906,1.0,0.1875,0.5,1684855878.840349,1684855894.3792748
1684855894.6797037,42.959197998046875,1.0,0.16304348409175873,0.5,1684855894.6797037,1684855911.4630716
1684855911.8584366,38.011417388916016,1.0,0.1910112351179123,0.5,1684855911.8584366,1684855926.98547
1684855927.5166357,42.3604736328125,1.0,0.1910112351179123,0.5,1684855927.5166357,1684855938.4938505
1684855939.0108805,39.76842498779297,1.0,0.20000000298023224,0.5,1684855939.0108805,1684855952.6146376
1684855952.9500828,34.71152877807617,1.0,0.0422535203397274,0.5,1684855952.9500828,1684855968.8525805
1684855969.3195753,38.870357513427734,1.0,0.20481927692890167,0.5,1684855969.3195753,1684855983.7778935
1684855984.2220514,38.70442581176758,1.0,0.16867469251155853,0.5,1684855984.2220514,1684856001.2226915
1684856001.425463,38.620849609375,1.0,0.1860465109348297,0.5,1684856001.425463,1684856017.7378962
1684856017.9814258,36.310508728027344,1.0,0.18888889253139496,0.5,1684856017.9814258,1684856032.3298886
1684856032.4813945,34.89263153076172,1.0,0.07692307978868484,0.5,1684856032.4813945,1684856048.387331
1684856048.936724,42.45193862915039,1.0,0.19540229439735413,0.5,1684856048.936724,1684856064.5779412
1684856065.0271742,43.03111267089844,1.0,0.1744185984134674,0.5,1684856065.0271742,1684856076.181894
1684856076.319611,37.944183349609375,1.0,0.18681319057941437,0.5,1684856076.319611,1684856091.4734483
1684856091.7547207,35.9410400390625,1.0,0.190476194024086,0.5,1684856091.7547207,1684856107.6418512
1684856107.985559,39.01891326904297,1.0,0.1785714328289032,0.5,1684856107.985559,1684856121.9018874
1684856122.381608,39.94508361816406,1.0,0.20454545319080353,0.5,1684856122.381608,1684856135.1992059
1684856135.4651265,34.44776916503906,1.0,0.19540229439735413,0.5,1684856135.4651265,1684856151.953857
1684856152.7141242,38.12181854248047,1.0,0.19565217196941376,0.5,1684856152.7141242,1684856165.8037417
1684856166.375692,40.76737976074219,1.0,0.20454545319080353,0.5,1684856166.375692,1684856182.663224
1684856183.1741443,40.18150329589844,1.0,0.1875,0.5,1684856183.1741443,1684856198.8778875
1684856199.121048,39.30048751831055,1.0,0.20481927692890167,0.5,1684856199.121048,1684856212.3778808
1684856212.839277,38.810401916503906,1.0,0.056338027119636536,0.5,1684856212.839277,1684856227.9898548
1684856228.2456121,39.78187561035156,1.0,0.1882352977991104,0.5,1684856228.2456121,1684856242.0458663
1684856242.316695,37.18123245239258,1.0,0.17241379618644714,0.5,1684856242.316695,1684856257.5663245
1684856257.8152087,36.53755187988281,1.0,0.1882352977991104,0.5,1684856257.8152087,1684856273.224013
1684856273.5075047,36.74978256225586,1.0,0.20481927692890167,0.5,1684856273.5075047,1684856289.289911
1684856289.6004386,36.35182189941406,1.0,0.1666666716337204,0.5,1684856289.6004386,1684856305.1980057
1684856305.653204,37.4764404296875,1.0,0.1910112351179123,0.5,1684856305.653204,1684856321.0762265
1684856321.3855355,37.62078094482422,1.0,0.1910112351179123,0.5,1684856321.3855355,1684856336.0848577
1684856336.5254126,33.51663589477539,1.0,0.1882352977991104,0.5,1684856336.5254126,1684856352.0699325
1684856352.7041037,38.5577278137207,1.0,0.21176470816135406,0.5,1684856352.7041037,1684856368.7579536
1684856369.075112,39.687156677246094,1.0,0.03999999910593033,0.5,1684856369.075112,1684856384.5713086
1684856384.8080592,37.38568878173828,1.0,0.20224718749523163,0.5,1684856384.8080592,1684856399.7870529
1684856400.1833966,39.4140739440918,1.0,0.20454545319080353,0.5,1684856400.1833966,1684856417.410746
1684856417.5815392,37.22361755371094,1.0,0.18681319057941437,0.5,1684856417.5815392,1684856433.189909
1684856433.525274,38.338558197021484,1.0,0.20224718749523163,0.5,1684856433.525274,1684856449.357898
1684856449.5763502,35.83428955078125,1.0,0.17777778208255768,0.5,1684856449.5763502,1684856465.7898717
1684856466.5297487,36.90473175048828,1.0,0.054794520139694214,0.5,1684856466.5297487,1684856482.245891
1684856483.101732,43.13578414916992,1.0,0.19767442345619202,0.5,1684856483.101732,1684856494.6698537
1684856495.0243087,35.60191345214844,1.0,0.19540229439735413,0.5,1684856495.0243087,1684856510.781889
