,load,alloc,reward,sigma,event_start_time,event_end_time
1684859902.6933296,1.0,2.0,30.501258850097656,17.630329132080078,1684859902.6933296,1684859914.0371237
1684859914.8087993,1.0,2.0,15.234671592712402,20.904979705810547,1684859914.8087993,1684859941.7210965
1684859941.997573,1.0,2.0,15.444314956665039,20.403987884521484,1684859941.997573,1684859967.89707
1684859968.3316562,1.0,2.0,16.063495635986328,19.995454788208008,1684859968.3316562,1684859992.7970645
1684859993.1705863,1.0,2.0,20.626466751098633,20.611425399780273,1684859993.1705863,1684860012.7570724
1684860013.259786,1.0,2.0,15.612144470214844,20.785982131958008,1684860013.259786,1684860039.3932867
1684860039.866626,1.0,2.0,14.100175857543945,20.321819305419922,1684860039.866626,1684860068.0932236
1684860068.489518,1.0,2.0,22.830320358276367,21.211475372314453,1684860068.489518,1684860086.7109005
1684860087.2482657,1.0,2.0,21.28567886352539,20.262197494506836,1684860087.2482657,1684860105.8993034
1684860152.752388,1.0,1.0,11.507455825805664,11.743027687072754,1684860152.752388,1684860173.0001311
1684860173.2189767,1.0,1.0,25.897642135620117,13.113807678222656,1684860173.2189767,1684860183.2971141
1684860183.6580217,1.0,1.0,14.142677307128906,14.99654769897461,1684860183.6580217,1684860204.9411201
1684860205.3851333,1.0,1.0,17.186721801757812,12.895488739013672,1684860205.3851333,1684860220.5130904
1684860220.7484233,1.0,1.0,19.157554626464844,12.339481353759766,1684860220.7484233,1684860233.5371115
1684860233.8151352,1.0,1.0,13.78486442565918,13.869091033935547,1684860233.8151352,1684860253.8370943
1684860254.1987376,1.0,1.0,11.23374080657959,12.59881591796875,1684860254.1987376,1684860276.4531224
1684860299.0253613,1.0,1.0,14.476103782653809,11.068671226501465,1684860299.0253613,1684860314.7063766
1684860314.9009814,1.0,1.0,6.004003047943115,12.828332901000977,1684860314.9009814,1684860334.721091
1684860337.0603476,1.0,1.0,17.834659576416016,12.953816413879395,1684860337.0603476,1684860351.4704912
1684860351.6205716,1.0,1.0,12.527310371398926,13.075992584228516,1684860351.6205716,1684860372.375226
1684860372.7781973,1.0,1.0,14.688211441040039,13.174867630004883,1684860372.7781973,1684860391.8411038
1684860392.1489244,1.0,1.0,15.382284164428711,13.180006980895996,1684860392.1489244,1684860409.181505
1684860409.5247343,1.0,1.0,12.733987808227539,9.844667434692383,1684860409.5247343,1684860424.9166136
1684860425.3640463,1.0,1.0,21.22092628479004,11.88687801361084,1684860425.3640463,1684860436.4851441
1684860456.1618118,1.0,1.0,20.729656219482422,12.448426246643066,1684860456.1618118,1684860468.077108
1684860510.0131326,1.0,3.0,17.938871383666992,20.06483268737793,1684860510.0131326,1684860531.8651195
1684860558.366578,1.0,4.0,20.722869873046875,28.53108787536621,1684860558.366578,1684860585.2450936
1684860619.9405668,1.0,5.0,39.18960952758789,35.1979866027832,1684860619.9405668,1684860637.24107
1684860637.720367,1.0,5.0,18.93190574645996,33.70572280883789,1684860637.720367,1684860672.0011191
1684860709.716353,1.0,1.0,13.434895515441895,14.543252944946289,1684860709.716353,1684860731.227499
1684860731.540504,1.0,1.0,11.595300674438477,11.792028427124023,1684860731.540504,1684860751.7210932
1684860752.126566,1.0,1.0,14.627494812011719,12.657587051391602,1684860752.126566,1684860769.286032
