,load,alloc,reward,sigma,event_start_time,event_end_time
1684859873.7131062,47.43955993652344,2.0,0.08235294371843338,0.5,1684859873.7131062,1684859889.1011074
1684859890.0465202,45.54419708251953,2.0,0.18627451360225677,0.5,1684859890.0465202,1684859904.9331584
1684859905.6794448,45.131568908691406,2.0,0.17592592537403107,0.5,1684859905.6794448,1684859921.6771157
1684859922.083839,46.32432174682617,2.0,0.21568627655506134,0.5,1684859922.083839,1684859939.785124
1684859940.3706794,42.12089920043945,2.0,0.19230769574642181,0.5,1684859940.3706794,1684859957.393108
1684859957.6719515,38.89152908325195,2.0,0.18518517911434174,0.5,1684859957.6719515,1684859974.2051146
1684859974.6197557,40.23974609375,2.0,0.1649484485387802,0.5,1684859974.6197557,1684859988.9091105
1684859989.32063,36.58161544799805,2.0,0.02298850566148758,0.5,1684859989.32063,1684860005.6676395
1684860006.0234275,36.15871047973633,2.0,0.1875,0.5,1684860006.0234275,1684860020.8469648
1684860021.352686,40.260475158691406,2.0,0.0824742242693901,0.5,1684860021.352686,1684860036.6778908
1684860037.1675062,37.60679626464844,2.0,0.21153846383094788,0.5,1684860037.1675062,1684860052.9891152
1684860053.2836213,38.08015823364258,2.0,0.20560747385025024,0.5,1684860053.2836213,1684860067.753099
1684860068.018741,35.538360595703125,2.0,0.13084112107753754,0.5,1684860068.018741,1684860084.564242
1684860085.5750916,42.47535705566406,2.0,0.12264151126146317,0.5,1684860085.5750916,1684860102.7850704
1684860103.2514656,41.674190521240234,2.0,0.125,0.5,1684860103.2514656,1684860116.2571173
1684860149.827384,39.00468444824219,1.0,0.07352941483259201,0.5,1684860149.827384,1684860166.4151351
1684860168.1640623,40.83137130737305,1.0,0.2222222238779068,0.5,1684860168.1640623,1684860182.9811008
1684860183.194792,33.9172477722168,1.0,0.09333333373069763,0.5,1684860183.194792,1684860198.8210607
1684860199.03928,37.71468734741211,1.0,0.2261904776096344,0.5,1684860199.03928,1684860212.9330714
1684860213.19217,40.86603546142578,1.0,0.2073170691728592,0.5,1684860213.19217,1684860228.0211103
1684860228.5475838,41.44003677368164,1.0,0.0,0.5,1684860228.5475838,1684860243.7502735
1684860244.1734781,40.218143463134766,1.0,0.18681319057941437,0.5,1684860244.1734781,1684860258.3461864
1684860258.6091704,37.45645523071289,1.0,0.19565217196941376,0.5,1684860258.6091704,1684860271.1570745
1684860271.586346,39.011871337890625,1.0,0.1910112351179123,0.5,1684860271.586346,1684860284.8130887
1684860300.9553034,37.1248779296875,1.0,0.1927710771560669,0.5,1684860300.9553034,1684860315.8509748
1684860316.388316,37.5519905090332,1.0,0.25,0.5,1684860316.388316,1684860331.2210846
1684860337.3870454,48.92165756225586,1.0,0.21176470816135406,0.5,1684860337.3870454,1684860352.9425275
1684860397.2106168,37.56291580200195,1.0,0.2023809552192688,0.5,1684860397.2106168,1684860413.077329
1684860413.3585894,39.90054702758789,1.0,0.17391304671764374,0.5,1684860413.3585894,1684860424.461194
1684860424.8113437,38.01728820800781,1.0,0.032258063554763794,0.5,1684860424.8113437,1684860437.4371784
1684860451.4594827,40.86433029174805,1.0,0.03076923079788685,0.5,1684860451.4594827,1684860461.9331646
1684860462.3001964,36.825172424316406,1.0,0.1882352977991104,0.5,1684860462.3001964,1684860474.8731174
1684860475.3638046,39.01216125488281,1.0,0.2432432472705841,0.5,1684860475.3638046,1684860490.641092
1684860490.9283974,36.099273681640625,1.0,0.1931818127632141,0.5,1684860490.9283974,1684860502.3690705
1684860502.712998,37.009033203125,1.0,0.19354838132858276,0.5,1684860502.712998,1684860517.3850923
1684860517.5668905,37.73164749145508,1.0,0.20481927692890167,0.5,1684860517.5668905,1684860533.1771288
1684860533.3687522,37.13663101196289,1.0,0.07894736528396606,0.5,1684860533.3687522,1684860549.2291024
1684860549.5071406,33.328487396240234,1.0,0.19354838132858276,0.5,1684860549.5071406,1684860563.1291206
1684860563.5789669,39.52351379394531,1.0,0.1538461595773697,0.5,1684860563.5789669,1684860578.7851052
1684860579.0036945,38.56993865966797,1.0,0.26153847575187683,0.5,1684860579.0036945,1684860594.430217
1684860594.9513988,37.514339447021484,1.0,0.18421052396297455,0.5,1684860594.9513988,1684860605.1075149
1684860605.5582774,33.97408676147461,1.0,0.18390804529190063,0.5,1684860605.5582774,1684860617.0964825
1684860617.4055398,39.269527435302734,1.0,0.21250000596046448,0.5,1684860617.4055398,1684860628.6610866
1684860629.1165507,34.23582077026367,1.0,0.20454545319080353,0.5,1684860629.1165507,1684860643.7211378
1684860644.1186454,39.5408821105957,1.0,0.20987653732299805,0.5,1684860644.1186454,1684860659.9250705
1684860660.4511218,38.89400863647461,1.0,0.18390804529190063,0.5,1684860660.4511218,1684860675.7491074
1684860676.2921188,36.83517837524414,1.0,0.20000000298023224,0.5,1684860676.2921188,1684860692.1465287
