,load,alloc,reward,sigma,event_start_time,event_end_time
1684925637.236307,1.0,3.0,24.10662269592285,29.279090881347656,1684925637.236307,1684925661.0471914
1684925661.2867045,1.0,3.0,23.741697311401367,26.677743911743164,1684925661.2867045,1684925683.2312176
1684925683.5180757,1.0,3.0,22.462186813354492,28.43459129333496,1684925683.5180757,1684925708.3153043
1684925708.7636871,1.0,3.0,23.25164794921875,30.228307723999023,1684925708.7636871,1684925734.0952241
1684925734.409963,1.0,3.0,18.232725143432617,25.684619903564453,1684925734.409963,1684925761.8880289
1684925762.164545,1.0,3.0,34.445499420166016,27.594499588012695,1684925762.164545,1684925777.812453
1684925778.1806114,1.0,3.0,25.609846115112305,31.749801635742188,1684925778.1806114,1684925802.390051
1684925802.6833978,1.0,3.0,23.13770294189453,31.776147842407227,1684925802.6833978,1684925829.3930507
1684925830.0160227,1.0,3.0,21.392683029174805,30.838115692138672,1684925830.0160227,1684925858.2032306
1684925858.4692378,1.0,3.0,28.552812576293945,33.75878143310547,1684925858.4692378,1684925881.4792302
1684925881.7920008,1.0,3.0,21.16021728515625,31.59882164001465,1684925881.7920008,1684925910.903233
1684925911.2142286,1.0,3.0,22.585060119628906,30.333133697509766,1684925911.2142286,1684925937.3819692
1684925937.84709,1.0,3.0,24.36461067199707,31.14059066772461,1684925937.84709,1684925962.7192302
1684925963.0882163,1.0,3.0,21.677024841308594,32.3798942565918,1684925963.0882163,1684925992.1512454
1684925992.4807377,1.0,3.0,22.050430297851562,31.103729248046875,1684925992.4807377,1684926019.9631937
1684926020.183605,1.0,3.0,23.03650665283203,32.21639633178711,1684926020.183605,1684926047.3578637
1684926047.6026587,1.0,3.0,22.401487350463867,30.970544815063477,1684926047.6026587,1684926074.4312341
1684926074.7188673,1.0,3.0,21.400510787963867,31.125417709350586,1684926074.7188673,1684926103.035948
1684926103.257166,1.0,3.0,21.38350486755371,29.291950225830078,1684926103.257166,1684926130.1002877
1684926130.3522995,1.0,3.0,21.732515335083008,30.445816040039062,1684926130.3522995,1684926157.6846154
1684926157.8950686,1.0,3.0,20.791540145874023,29.772632598876953,1684926157.8950686,1684926185.8872223
1684926186.2678707,1.0,3.0,22.41781997680664,31.645782470703125,1684926186.2678707,1684926213.8352256
1684926214.1549,1.0,3.0,28.979686737060547,32.03395080566406,1684926214.1549,1684926235.6872241
1684926236.0389686,1.0,3.0,20.43918800354004,30.069374084472656,1684926236.0389686,1684926264.8072345
1684926265.0295837,1.0,3.0,21.826873779296875,30.47378158569336,1684926265.0295837,1684926292.2437418
1684926292.4629078,1.0,3.0,21.21691131591797,30.1485652923584,1684926292.4629078,1684926320.035254
1684926320.2599154,1.0,3.0,20.40070152282715,27.95770263671875,1684926320.2599154,1684926347.0727196
1684926347.62762,1.0,3.0,23.890626907348633,31.455219268798828,1684926347.62762,1684926373.2443614
1684926373.5766232,1.0,3.0,22.466331481933594,30.763992309570312,1684926373.5766232,1684926400.2832525
1684926400.6624308,1.0,3.0,20.954925537109375,28.984657287597656,1684926400.6624308,1684926427.6727877
1684926427.9568603,1.0,3.0,22.944042205810547,31.5950984954834,1684926427.9568603,1684926454.7612052
1684926455.1123507,1.0,3.0,21.69696617126465,30.58466339111328,1684926455.1123507,1684926482.6277175
1684926482.9871612,1.0,3.0,22.835609436035156,31.295503616333008,1684926482.9871612,1684926509.6560357
1684926509.9416,1.0,3.0,21.22208023071289,30.034862518310547,1684926509.9416,1684926537.50723
1684926537.986798,1.0,3.0,24.84855079650879,32.305450439453125,1684926537.986798,1684926563.3403895
1684926563.7577143,1.0,3.0,22.491361618041992,32.69929122924805,1684926563.7577143,1684926592.0352364
1684926592.2145512,1.0,3.0,21.345579147338867,31.9500732421875,1684926592.2145512,1684926621.3072274
1684926621.6687095,1.0,3.0,21.37328338623047,31.61721420288086,1684926621.6687095,1684926650.4429507
1684926650.8291948,1.0,3.0,21.343883514404297,30.487396240234375,1684926650.8291948,1684926678.6123307
1684926678.86533,1.0,3.0,23.095821380615234,31.994264602661133,1684926678.86533,1684926705.8832037
1684926706.132107,1.0,3.0,21.08967399597168,31.793128967285156,1684926706.132107,1684926735.435546
1684926735.9614558,1.0,3.0,23.926538467407227,31.737882614135742,1684926735.9614558,1684926761.7905164
1684926762.1338859,1.0,3.0,21.254789352416992,30.603588104248047,1684926762.1338859,1684926790.2216725
1684926790.5077422,1.0,3.0,23.06014060974121,31.735116958618164,1684926790.5077422,1684926817.3072326
1684926817.6151452,1.0,3.0,31.271713256835938,31.175825119018555,1684926817.6151452,1684926837.0896142
1684926837.3463976,1.0,3.0,22.567089080810547,31.71050453186035,1684926837.3463976,1684926864.7314086
1684926864.8950653,1.0,3.0,23.23563575744629,30.52888298034668,1684926864.8950653,1684926890.588358
1684926890.8088772,1.0,3.0,22.082111358642578,28.519136428833008,1684926890.8088772,1684926916.0329142
1684926916.2858224,1.0,3.0,24.241331100463867,31.675291061401367,1684926916.2858224,1684926941.9032273
1684926942.2509062,1.0,3.0,21.738862991333008,31.353635787963867,1684926942.2509062,1684926970.3572526
1684926970.6372077,1.0,3.0,18.439302444458008,26.90415382385254,1684926970.6372077,1684926999.1632318
1684926999.4800327,1.0,3.0,25.327280044555664,31.513504028320312,1684926999.4800327,1684927023.76215
1684927023.9366465,1.0,3.0,19.7946720123291,29.091075897216797,1684927023.9366465,1684927052.6312377
1684927052.9701989,1.0,3.0,22.460376739501953,31.584468841552734,1684927052.9701989,1684927080.307228
1684927080.682145,1.0,3.0,24.419206619262695,31.61623191833496,1684927080.682145,1684927105.867239
1684927106.06904,1.0,3.0,21.12392234802246,28.285785675048828,1684927106.06904,1684927132.295229
