,load,alloc,reward,sigma,event_start_time,event_end_time
1684925187.486625,17.21866226196289,1.0,0.19417475163936615,0.5,1684925187.486625,1684925201.076531
1684925201.45792,17.322921752929688,1.0,0.2222222238779068,0.5,1684925201.45792,1684925215.3701231
1684925215.5121884,19.08296775817871,1.0,0.13793103396892548,0.5,1684925215.5121884,1684925229.2941122
1684925229.5673423,19.92904281616211,1.0,0.1910112351179123,0.5,1684925229.5673423,1684925243.0652304
1684925243.2782812,18.943824768066406,1.0,0.12087912112474442,0.5,1684925243.2782812,1684925253.994174
1684925254.1483305,19.07707977294922,1.0,0.14130434393882751,0.5,1684925254.1483305,1684925266.8861291
1684925267.1017997,19.97603416442871,1.0,0.18627451360225677,0.5,1684925267.1017997,1684925280.718116
1684925280.975292,18.024784088134766,1.0,0.11235955357551575,0.5,1684925280.975292,1684925292.3485208
1684925292.4993362,19.317211151123047,1.0,0.13978494703769684,0.5,1684925292.4993362,1684925305.0787916
1684925305.4095795,18.092344284057617,1.0,0.13829787075519562,0.5,1684925305.4095795,1684925319.338123
1684925319.9138997,18.866275787353516,1.0,0.19801980257034302,0.5,1684925319.9138997,1684925333.4830852
1684925333.951589,19.53822135925293,1.0,0.20408163964748383,0.5,1684925333.951589,1684925344.8021162
1684925345.048453,18.315475463867188,1.0,0.13829787075519562,0.5,1684925345.048453,1684925358.6981125
1684925358.8849933,17.736831665039062,1.0,0.13978494703769684,0.5,1684925358.8849933,1684925372.4725385
1684925372.848738,17.46147918701172,1.0,0.13829787075519562,0.5,1684925372.848738,1684925385.5624373
1684925385.9452744,21.77639389038086,1.0,0.19607843458652496,0.5,1684925385.9452744,1684925399.446132
1684925399.7470737,18.020383834838867,1.0,0.13829787075519562,0.5,1684925399.7470737,1684925412.7323682
1684925413.192491,17.553606033325195,1.0,0.12765957415103912,0.5,1684925413.192491,1684925426.4661174
1684925426.7274249,18.77936363220215,1.0,0.18446601927280426,0.5,1684925426.7274249,1684925441.1581583
1684925441.3593578,16.385316848754883,1.0,0.13829787075519562,0.5,1684925441.3593578,1684925455.3352852
1684925455.4673543,19.061365127563477,1.0,0.1318681389093399,0.5,1684925455.4673543,1684925468.950124
1684925469.1998267,20.128799438476562,1.0,0.13829787075519562,0.5,1684925469.1998267,1684925482.5140827
1684925482.7721093,18.04241943359375,1.0,0.13684210181236267,0.5,1684925482.7721093,1684925495.6861205
1684925495.9132435,18.138832092285156,1.0,0.08536585420370102,0.5,1684925495.9132435,1684925508.5380914
1684925508.695324,19.660907745361328,1.0,0.125,0.5,1684925508.695324,1684925521.6143613
