,load,alloc,reward,sigma,event_start_time,event_end_time
1684924963.2021613,40.386131286621094,1.0,0.012820512987673283,0.5,1684924963.2021613,1684924978.6282482
1684924978.7671041,38.049983978271484,1.0,0.09473684430122375,0.5,1684924978.7671041,1684924992.853838
1684924993.102603,38.33232116699219,1.0,0.08510638028383255,0.5,1684924993.102603,1684925008.85954
1684925009.2209492,35.8290901184082,1.0,0.08695652335882187,0.5,1684925009.2209492,1684925023.7901156
1684925024.269508,37.4722785949707,1.0,0.18867924809455872,0.5,1684925024.269508,1684925039.5341258
1684925039.9377275,36.24559783935547,1.0,0.18627451360225677,0.5,1684925039.9377275,1684925057.9261184
1684925058.0477,37.82289505004883,1.0,0.1944444477558136,0.5,1684925058.0477,1684925074.334132
1684925074.775239,35.97827911376953,1.0,0.08421052992343903,0.5,1684925074.775239,1684925091.7021182
1684925091.9220376,34.093509674072266,1.0,0.08421052992343903,0.5,1684925091.9220376,1684925108.1421335
1684925108.468323,39.70863723754883,1.0,0.08602150529623032,0.5,1684925108.468323,1684925125.0642078
1684925125.3651125,37.878013610839844,1.0,0.08602150529623032,0.5,1684925125.3651125,1684925141.4694417
1684925142.0586455,38.69718933105469,1.0,0.19811320304870605,0.5,1684925142.0586455,1684925157.486123
1684925157.7510533,39.824100494384766,1.0,0.18867924809455872,0.5,1684925157.7510533,1684925173.9723861
1684925174.597363,38.346927642822266,1.0,0.19811320304870605,0.5,1684925174.597363,1684925191.6261067
1684925191.9728165,36.78229904174805,1.0,0.19811320304870605,0.5,1684925191.9728165,1684925205.9741158
1684925206.7198033,37.96017074584961,1.0,0.1899999976158142,0.5,1684925206.7198033,1684925222.4995008
1684925222.7042518,37.328125,1.0,0.012987012974917889,0.5,1684925222.7042518,1684925238.2421336
1684925238.6758206,36.57068634033203,1.0,0.19417475163936615,0.5,1684925238.6758206,1684925253.6331553
1684925253.831632,35.05292892456055,1.0,0.09574468433856964,0.5,1684925253.831632,1684925269.9501133
1684925270.6380463,37.81680679321289,1.0,0.19230769574642181,0.5,1684925270.6380463,1684925283.8861241
1684925284.368822,40.70645523071289,1.0,0.19811320304870605,0.5,1684925284.368822,1684925301.1966193
1684925301.7384937,36.614044189453125,1.0,0.18691588938236237,0.5,1684925301.7384937,1684925317.5247862
1684925317.766864,35.72304153442383,1.0,0.08695652335882187,0.5,1684925317.766864,1684925330.7276866
1684925331.2934158,35.65413284301758,1.0,0.18269230425357819,0.5,1684925331.2934158,1684925346.4389255
1684925347.02571,37.75056076049805,1.0,0.190476194024086,0.5,1684925347.02571,1684925364.0850596
1684925364.4524148,40.41395950317383,1.0,0.19811320304870605,0.5,1684925364.4524148,1684925379.9421127
1684925380.5119379,37.53042984008789,1.0,0.08695652335882187,0.5,1684925380.5119379,1684925395.886129
1684925396.4434507,37.733192443847656,1.0,0.08791209012269974,0.5,1684925396.4434507,1684925413.1661274
1684925413.6284733,37.17157745361328,1.0,0.18867924809455872,0.5,1684925413.6284733,1684925428.5861375
1684925429.057816,37.4925537109375,1.0,0.1962616890668869,0.5,1684925429.057816,1684925444.3141794
1684925851.8749092,44.03607940673828,1.0,0.08045977354049683,0.5,1684925851.8749092,1684925862.002968
1684929562.469062,41.05895233154297,1.0,0.25773194432258606,0.5,1684929562.469062,1684929574.0621493
1684929574.3037667,47.12889099121094,1.0,0.08602150529623032,0.5,1684929574.3037667,1684929587.2469947
1684929658.6318505,39.566253662109375,1.0,0.2747252881526947,0.5,1684929658.6318505,1684929670.7381268
1684929671.0614958,47.51716232299805,1.0,0.20000000298023224,0.5,1684929671.0614958,1684929684.0252328
