,load,alloc,reward,sigma,event_start_time,event_end_time
1684900122.037219,37.99326705932617,2.0,0.12962962687015533,0.5,1684900122.037219,1684900133.223412
1684900133.5035799,37.21576690673828,2.0,0.10833333432674408,0.5,1684900133.5035799,1684900145.568359
1684900145.7669742,41.94232940673828,2.0,0.13934426009655,0.5,1684900145.7669742,1684900159.5716438
1684900159.7881432,42.792118072509766,2.0,0.1315789520740509,0.5,1684900159.7881432,1684900174.1132116
1684900174.637401,43.0134162902832,2.0,0.19834710657596588,0.5,1684900174.637401,1684900187.5636005
1684900187.9325895,39.33572769165039,2.0,0.18110236525535583,0.5,1684900187.9325895,1684900200.5928361
1684900201.2499774,39.263404846191406,2.0,0.19379845261573792,0.5,1684900201.2499774,1684900215.7163746
1684900216.0035713,42.200531005859375,2.0,0.19379845261573792,0.5,1684900216.0035713,1684900230.197705
1684900230.4282117,38.073612213134766,2.0,0.1090909093618393,0.5,1684900230.4282117,1684900244.3223495
1684900244.556698,35.61174392700195,2.0,0.15094339847564697,0.5,1684900244.556698,1684900258.3723652
1684900258.6633306,39.65045928955078,2.0,0.190476194024086,0.5,1684900258.6633306,1684900271.828374
1684900272.1189327,42.880897521972656,2.0,0.1860465109348297,0.5,1684900272.1189327,1684900286.3443809
1684900286.7292292,41.961666107177734,2.0,0.1953125,0.5,1684900286.7292292,1684900300.4083805
1684900300.5891583,43.76340866088867,2.0,0.15199999511241913,0.5,1684900300.5891583,1684900312.4483807
1684900312.6750357,38.908790588378906,2.0,0.17886178195476532,0.5,1684900312.6750357,1684900326.83636
1684900327.052961,41.997676849365234,2.0,0.10619468986988068,0.5,1684900327.052961,1684900340.2203565
1684900340.4474335,37.78635025024414,2.0,0.1160714253783226,0.5,1684900340.4474335,1684900353.9443707
1684900354.4358845,42.249874114990234,2.0,0.14166666567325592,0.5,1684900354.4358845,1684900367.5483499
1684900367.8022807,37.964725494384766,2.0,0.17424242198467255,0.5,1684900367.8022807,1684900382.4211135
1684900382.6605718,37.24883270263672,2.0,0.13445378839969635,0.5,1684900382.6605718,1684900397.5603669
1684900397.8125155,38.07634735107422,2.0,0.125,0.5,1684900397.8125155,1684900412.2309155
1684900412.4638414,40.2945442199707,2.0,0.1260504275560379,0.5,1684900412.4638414,1684900427.056388
1684900427.363969,38.36567306518555,2.0,0.11864406615495682,0.5,1684900427.363969,1684900442.7683642
1684900443.040951,35.70284652709961,2.0,0.1705426424741745,0.5,1684900443.040951,1684900458.4738946
1684900458.700939,39.59545135498047,2.0,0.1484375,0.5,1684900458.700939,1684900473.5763855
1684900473.8042407,41.95771026611328,2.0,0.12727272510528564,0.5,1684900473.8042407,1684900488.676359
1684900488.8850567,39.26450729370117,2.0,0.1111111119389534,0.5,1684900488.8850567,1684900502.8926177
1684900503.0967438,40.9308967590332,2.0,0.12068965286016464,0.5,1684900503.0967438,1684900517.853322
1684900518.095494,39.96213150024414,2.0,0.19847328960895538,0.5,1684900518.095494,1684900532.7844002
1684900533.0149865,40.500667572021484,2.0,0.12800000607967377,0.5,1684900533.0149865,1684900548.6443589
1684900548.998246,37.78877639770508,2.0,0.1985294073820114,0.5,1684900548.998246,1684900564.9553647
1684900565.2778647,38.35444259643555,2.0,0.1705426424741745,0.5,1684900565.2778647,1684900581.2603676
1684900581.566429,42.23540115356445,2.0,0.17985612154006958,0.5,1684900581.566429,1684900592.5051203
1684900592.7053673,37.619529724121094,2.0,0.13114753365516663,0.5,1684900592.7053673,1684900606.368484
1684900606.5321045,36.348838806152344,2.0,0.18045112490653992,0.5,1684900606.5321045,1684900621.8283298
1684900621.9741597,37.786285400390625,2.0,0.12280701845884323,0.5,1684900621.9741597,1684900636.0004122
1684900636.299597,45.78190994262695,2.0,0.14166666567325592,0.5,1684900636.299597,1684900648.9683561
1684900649.174201,37.87728500366211,2.0,0.19166666269302368,0.5,1684900649.174201,1684900663.5363705
1684900663.6621387,34.840858459472656,2.0,0.1487603336572647,0.5,1684900663.6621387,1684900678.041808
1684900678.264571,39.34576416015625,2.0,0.1782945692539215,0.5,1684900678.264571,1684900692.1923726
1684900692.4580402,36.52690124511719,2.0,0.1627907007932663,0.5,1684900692.4580402,1684900706.3655987
1684900706.5048528,41.89716339111328,2.0,0.15909090638160706,0.5,1684900706.5048528,1684900721.8519535
1684900722.0897229,40.35343933105469,2.0,0.10526315867900848,0.5,1684900722.0897229,1684900735.5706058
1684900735.8056972,38.27047348022461,2.0,0.1640625,0.5,1684900735.8056972,1684900747.6163692
1684900747.896014,38.58382034301758,2.0,0.12280701845884323,0.5,1684900747.896014,1684900761.450918
1684900761.6584597,41.26570129394531,2.0,0.12844036519527435,0.5,1684900761.6584597,1684900775.8106487
1684900776.1063094,36.461936950683594,2.0,0.11711711436510086,0.5,1684900776.1063094,1684900789.3804257
1684900789.7180848,39.641090393066406,2.0,0.20454545319080353,0.5,1684900789.7180848,1684900802.9114656
1684900803.155691,39.39209747314453,2.0,0.12711864709854126,0.5,1684900803.155691,1684900817.0163395
1684900817.156785,41.82428741455078,2.0,0.09565217047929764,0.5,1684900817.156785,1684900831.0243256
