,load,avg_latency,p99,stddev_latency,allocs,event_start_time,event_end_time
1684828530.5875793,17915.0,15406.56,23630.0,4329.798,"{'root--consul': 1.0, 'root--frontend': 1.0, 'root--geo': 0.22950819672131148, 'root--jaeger': 1.0, 'root--memcached-profile': 1.0, 'root--memcached-rate': 1.0, 'root--memcached-reserve': 1.0, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 1.0, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 1.0, 'root--mongodb-reservation': 1.0, 'root--mongodb-user': 1.0, 'root--profile': 1.0, 'root--rate': 1.0, 'root--recommendation': 1.0, 'root--reservation': 1.0, 'root--search': 1.0, 'root--user': 1.0}",1684828530.5875793,1684828561.154725
1684828561.1560307,11868.0,17400.25,25850.0,4857.841,"{'root--consul': 1.0491803278688525, 'root--frontend': 1.4754098360655739, 'root--geo': 1.360655737704918, 'root--jaeger': 1.0819672131147542, 'root--memcached-profile': 1.0, 'root--memcached-rate': 1.0819672131147542, 'root--memcached-reserve': 1.0, 'root--mongodb-geo': 1.4754098360655739, 'root--mongodb-profile': 1.0, 'root--mongodb-rate': 1.1147540983606556, 'root--mongodb-recommendation': 1.0, 'root--mongodb-reservation': 1.0, 'root--mongodb-user': 1.0, 'root--profile': 1.0, 'root--rate': 1.0, 'root--recommendation': 1.0, 'root--reservation': 1.0, 'root--search': 1.0, 'root--user': 1.0}",1684828561.1560307,1684828591.732891
1684828591.7501683,23239.0,14957.638,22170.0,4111.148,"{'root--consul': 2.0, 'root--frontend': 2.0, 'root--geo': 2.0, 'root--jaeger': 2.0, 'root--memcached-profile': 1.9672131147540983, 'root--memcached-rate': 2.0, 'root--memcached-reserve': 1.9180327868852458, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 1.0655737704918034, 'root--mongodb-rate': 1.0327868852459017, 'root--mongodb-recommendation': 1.1147540983606556, 'root--mongodb-reservation': 1.0, 'root--mongodb-user': 1.0491803278688525, 'root--profile': 1.5901639344262295, 'root--rate': 1.7704918032786885, 'root--recommendation': 1.5901639344262295, 'root--reservation': 1.6229508196721312, 'root--search': 1.5573770491803278, 'root--user': 1.9180327868852458}",1684828591.7501683,1684828622.3144956
1684828622.3157473,25336.0,14381.894,21450.0,4139.324,"{'root--consul': 2.0, 'root--frontend': 2.0, 'root--geo': 2.0, 'root--jaeger': 2.0, 'root--memcached-profile': 2.0, 'root--memcached-rate': 2.0, 'root--memcached-reserve': 2.0, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 1.0, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 1.0, 'root--mongodb-reservation': 1.0, 'root--mongodb-user': 1.0, 'root--profile': 2.0, 'root--rate': 2.0, 'root--recommendation': 2.0, 'root--reservation': 2.0, 'root--search': 2.0, 'root--user': 2.0}",1684828622.3157473,1684828652.418992
1684828652.420306,22741.0,13931.76,22350.0,4571.163,"{'root--consul': 1.6557377049180328, 'root--frontend': 1.7049180327868851, 'root--geo': 1.7540983606557377, 'root--jaeger': 1.7868852459016393, 'root--memcached-profile': 1.819672131147541, 'root--memcached-rate': 1.8688524590163935, 'root--memcached-reserve': 2.0, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 1.0, 'root--mongodb-rate': 1.0327868852459017, 'root--mongodb-recommendation': 1.0, 'root--mongodb-reservation': 1.0, 'root--mongodb-user': 1.0, 'root--profile': 1.8688524590163935, 'root--rate': 1.9508196721311475, 'root--recommendation': 1.9836065573770492, 'root--reservation': 2.0, 'root--search': 2.0, 'root--user': 2.0}",1684828652.420306,1684828683.0010974
1684828683.0023224,12638.0,17013.713,25610.0,4940.048,"{'root--consul': 1.0, 'root--frontend': 1.0, 'root--geo': 1.0, 'root--jaeger': 1.0, 'root--memcached-profile': 1.0, 'root--memcached-rate': 1.0, 'root--memcached-reserve': 1.0166666666666666, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 1.0, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 1.0, 'root--mongodb-reservation': 1.0, 'root--mongodb-user': 1.0, 'root--profile': 1.0, 'root--rate': 0.8166666666666667, 'root--recommendation': 1.0, 'root--reservation': 1.0666666666666667, 'root--search': 1.1, 'root--user': 1.1333333333333333}",1684828683.0023224,1684828713.0641856
1684828713.0655637,12894.0,17085.257,25580.0,4872.028,"{'root--consul': 1.1475409836065573, 'root--frontend': 1.0655737704918034, 'root--geo': 1.0327868852459017, 'root--jaeger': 1.0, 'root--memcached-profile': 1.0, 'root--memcached-rate': 1.0, 'root--memcached-reserve': 1.0, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 1.0, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 1.0, 'root--mongodb-reservation': 1.0, 'root--mongodb-user': 1.0, 'root--profile': 1.0, 'root--rate': 1.0, 'root--recommendation': 1.0, 'root--reservation': 1.0, 'root--search': 1.0, 'root--user': 1.0}",1684828713.0655637,1684828743.630111
1684828743.6313107,20104.0,16880.611,23560.0,3982.013,"{'root--consul': 2.0, 'root--frontend': 2.0, 'root--geo': 2.0, 'root--jaeger': 2.819672131147541, 'root--memcached-profile': 1.8688524590163935, 'root--memcached-rate': 1.8032786885245902, 'root--memcached-reserve': 1.721311475409836, 'root--mongodb-geo': 1.0491803278688525, 'root--mongodb-profile': 1.0, 'root--mongodb-rate': 1.0327868852459017, 'root--mongodb-recommendation': 1.0491803278688525, 'root--mongodb-reservation': 1.0, 'root--mongodb-user': 1.0327868852459017, 'root--profile': 1.901639344262295, 'root--rate': 1.6065573770491803, 'root--recommendation': 1.5737704918032787, 'root--reservation': 1.4262295081967213, 'root--search': 1.459016393442623, 'root--user': 1.4918032786885247}",1684828743.6313107,1684828774.185684
1684828774.186835,19569.0,13785.217,23300.0,5107.242,"{'root--consul': 1.5166666666666666, 'root--frontend': 1.5166666666666666, 'root--geo': 1.55, 'root--jaeger': 2.1666666666666665, 'root--memcached-profile': 1.6333333333333333, 'root--memcached-rate': 1.6666666666666667, 'root--memcached-reserve': 1.75, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 1.0, 'root--mongodb-rate': 1.0833333333333333, 'root--mongodb-recommendation': 1.0333333333333334, 'root--mongodb-reservation': 1.0333333333333334, 'root--mongodb-user': 1.0, 'root--profile': 2.2666666666666666, 'root--rate': 1.7166666666666666, 'root--recommendation': 1.75, 'root--reservation': 1.7833333333333334, 'root--search': 1.8333333333333333, 'root--user': 1.8333333333333333}",1684828774.186835,1684828804.2603836
1684828804.261555,12411.0,17041.259,25590.0,5053.632,"{'root--consul': 1.0, 'root--frontend': 1.0, 'root--geo': 1.0, 'root--jaeger': 1.0, 'root--memcached-profile': 1.0, 'root--memcached-rate': 1.0, 'root--memcached-reserve': 1.0, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 1.0, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 1.0, 'root--mongodb-reservation': 1.0, 'root--mongodb-user': 1.0, 'root--profile': 1.0, 'root--rate': 1.0, 'root--recommendation': 1.0, 'root--reservation': 1.0, 'root--search': 1.0, 'root--user': 1.0}",1684828804.261555,1684828834.8238401
1684828834.8250027,12731.0,17235.717,25590.0,4867.6,"{'root--consul': 1.0, 'root--frontend': 1.0, 'root--geo': 1.0, 'root--jaeger': 1.0, 'root--memcached-profile': 1.0, 'root--memcached-rate': 1.0, 'root--memcached-reserve': 1.0, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 1.0, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 1.0, 'root--mongodb-reservation': 1.0, 'root--mongodb-user': 1.0, 'root--profile': 1.0, 'root--rate': 1.0, 'root--recommendation': 1.0, 'root--reservation': 1.0, 'root--search': 1.0, 'root--user': 1.0}",1684828834.8250027,1684828865.401526
1684828865.4427176,12632.0,16964.396,25560.0,4980.959,"{'root--consul': 1.0, 'root--frontend': 1.180327868852459, 'root--geo': 1.0, 'root--jaeger': 1.0, 'root--memcached-profile': 1.0, 'root--memcached-rate': 1.0, 'root--memcached-reserve': 1.0, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 1.0, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 1.0, 'root--mongodb-reservation': 1.0, 'root--mongodb-user': 1.0, 'root--profile': 1.0, 'root--rate': 1.0, 'root--recommendation': 1.0, 'root--reservation': 1.0, 'root--search': 1.0, 'root--user': 1.0}",1684828865.4427176,1684828895.9911513
1684828895.9924767,25157.0,16217.286,22270.0,3603.733,"{'root--consul': 2.7333333333333334, 'root--frontend': 2.0, 'root--geo': 1.8833333333333333, 'root--jaeger': 1.7666666666666666, 'root--memcached-profile': 1.8, 'root--memcached-rate': 1.0, 'root--memcached-reserve': 2.5, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 1.0, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 1.0333333333333334, 'root--mongodb-reservation': 1.0333333333333334, 'root--mongodb-user': 1.0, 'root--profile': 1.3333333333333333, 'root--rate': 1.6833333333333333, 'root--recommendation': 1.4166666666666667, 'root--reservation': 2.25, 'root--search': 1.3, 'root--user': 1.9666666666666666}",1684828895.9924767,1684828926.0648873
1684828926.0660741,38420.0,11204.008,18530.0,3504.818,"{'root--consul': 3.0, 'root--frontend': 2.0, 'root--geo': 2.0, 'root--jaeger': 2.0, 'root--memcached-profile': 2.0, 'root--memcached-rate': 1.0, 'root--memcached-reserve': 3.0, 'root--mongodb-geo': 1.0491803278688525, 'root--mongodb-profile': 1.0, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 1.0491803278688525, 'root--mongodb-reservation': 1.0, 'root--mongodb-user': 1.0, 'root--profile': 2.0, 'root--rate': 2.0, 'root--recommendation': 2.0, 'root--reservation': 3.0, 'root--search': 2.0, 'root--user': 3.0}",1684828926.0660741,1684828956.6413977
1684828956.642653,38918.0,11048.463,18370.0,3481.717,"{'root--consul': 3.0, 'root--frontend': 2.0, 'root--geo': 2.0, 'root--jaeger': 2.0, 'root--memcached-profile': 2.0, 'root--memcached-rate': 1.0, 'root--memcached-reserve': 3.0, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 1.0, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 1.0, 'root--mongodb-reservation': 1.0, 'root--mongodb-user': 1.0, 'root--profile': 2.0, 'root--rate': 2.0, 'root--recommendation': 2.0, 'root--reservation': 3.0, 'root--search': 2.0, 'root--user': 3.0}",1684828956.642653,1684828987.2110977
1684828987.2122662,39092.0,11200.141,17860.0,3339.407,"{'root--consul': 3.0, 'root--frontend': 2.0, 'root--geo': 2.0, 'root--jaeger': 2.0, 'root--memcached-profile': 2.0, 'root--memcached-rate': 1.0, 'root--memcached-reserve': 3.0, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 1.0, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 1.0, 'root--mongodb-reservation': 1.0, 'root--mongodb-user': 1.0333333333333334, 'root--profile': 2.0, 'root--rate': 2.0, 'root--recommendation': 2.0, 'root--reservation': 3.0, 'root--search': 2.0, 'root--user': 3.0}",1684828987.2122662,1684829017.2841103
1684829017.2851415,38906.0,10893.668,18960.0,3679.381,"{'root--consul': 3.0, 'root--frontend': 2.0, 'root--geo': 2.0, 'root--jaeger': 2.0, 'root--memcached-profile': 2.0, 'root--memcached-rate': 1.0, 'root--memcached-reserve': 3.0, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 1.0, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 1.0, 'root--mongodb-reservation': 1.0, 'root--mongodb-user': 1.0, 'root--profile': 2.0, 'root--rate': 2.0, 'root--recommendation': 2.0, 'root--reservation': 3.0, 'root--search': 2.0, 'root--user': 3.0}",1684829017.2851415,1684829047.848365
1684829047.8496997,39241.0,11129.907,17190.0,3275.906,"{'root--consul': 3.0, 'root--frontend': 2.0, 'root--geo': 2.0, 'root--jaeger': 2.0, 'root--memcached-profile': 2.0, 'root--memcached-rate': 1.0, 'root--memcached-reserve': 3.0, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 1.0, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 1.0, 'root--mongodb-reservation': 1.0, 'root--mongodb-user': 1.0, 'root--profile': 2.0, 'root--rate': 2.0, 'root--recommendation': 2.0, 'root--reservation': 3.0, 'root--search': 2.0, 'root--user': 3.0}",1684829047.8496997,1684829078.4170113
1684829078.4734395,39228.0,11094.706,17370.0,3318.651,"{'root--consul': 3.0, 'root--frontend': 2.0, 'root--geo': 2.0, 'root--jaeger': 2.0, 'root--memcached-profile': 2.0, 'root--memcached-rate': 1.0, 'root--memcached-reserve': 3.0, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 1.0, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 1.0, 'root--mongodb-reservation': 1.0, 'root--mongodb-user': 1.0, 'root--profile': 2.0, 'root--rate': 2.0, 'root--recommendation': 2.0, 'root--reservation': 3.0, 'root--search': 2.0, 'root--user': 3.0}",1684829078.4734395,1684829108.5488126
1684829108.5499742,39328.0,11036.315,17920.0,3395.952,"{'root--consul': 3.0, 'root--frontend': 2.0, 'root--geo': 2.0, 'root--jaeger': 2.0, 'root--memcached-profile': 2.0, 'root--memcached-rate': 1.0, 'root--memcached-reserve': 3.0, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 1.0, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 1.0, 'root--mongodb-reservation': 1.0, 'root--mongodb-user': 1.0, 'root--profile': 2.0, 'root--rate': 2.0, 'root--recommendation': 2.0, 'root--reservation': 3.0, 'root--search': 2.0, 'root--user': 3.0}",1684829108.5499742,1684829139.1271684
