,load,avg_latency,p99,stddev_latency,allocs,event_start_time,event_end_time
1684724843.4123192,89334.0,3703.348,7670.0,2420.128,"{'root--consul': 0.7333333333333333, 'root--frontend': 1.0, 'root--geo': 0.7333333333333333, 'root--jaeger': 0.7333333333333333, 'root--memcached-profile': 0.7333333333333333, 'root--memcached-rate': 1.0, 'root--memcached-reserve': 0.7333333333333333, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 0.7333333333333333, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 1.0, 'root--mongodb-reservation': 1.0, 'root--mongodb-user': 0.7333333333333333, 'root--profile': 0.7333333333333333, 'root--rate': 1.0, 'root--recommendation': 0.7666666666666667, 'root--reservation': 0.7333333333333333, 'root--search': 0.7666666666666667, 'root--user': 1.0}",1684724843.4123192,1684724873.4907856
1684724873.4914052,89333.0,0.121,0.48,0.105,"{'root--consul': 0.0, 'root--frontend': 1.0, 'root--geo': 0.0, 'root--jaeger': 0.0, 'root--memcached-profile': 0.0, 'root--memcached-rate': 1.0, 'root--memcached-reserve': 0.0, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 0.0, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 1.0, 'root--mongodb-reservation': 1.0, 'root--mongodb-user': 0.0, 'root--profile': 0.0, 'root--rate': 1.0, 'root--recommendation': 0.0, 'root--reservation': 0.0, 'root--search': 0.0, 'root--user': 1.0}",1684724873.4914052,1684724903.5284736
1684724903.5289607,89328.0,0.12,0.476,0.095,"{'root--consul': 0.0, 'root--frontend': 1.0, 'root--geo': 0.0, 'root--jaeger': 0.0, 'root--memcached-profile': 0.0, 'root--memcached-rate': 1.0, 'root--memcached-reserve': 0.0, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 0.0, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 1.0, 'root--mongodb-reservation': 1.0, 'root--mongodb-user': 0.0, 'root--profile': 0.0, 'root--rate': 1.0, 'root--recommendation': 0.0, 'root--reservation': 0.0, 'root--search': 0.0, 'root--user': 1.0}",1684724903.5289607,1684724933.5587673
1684724933.559271,89326.0,0.121,0.481,0.111,"{'root--consul': 0.0, 'root--frontend': 1.0, 'root--geo': 0.0, 'root--jaeger': 0.0, 'root--memcached-profile': 0.0, 'root--memcached-rate': 1.0, 'root--memcached-reserve': 0.0, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 0.0, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 1.0, 'root--mongodb-reservation': 1.0, 'root--mongodb-user': 0.0, 'root--profile': 0.0, 'root--rate': 1.0, 'root--recommendation': 0.0, 'root--reservation': 0.0, 'root--search': 0.0, 'root--user': 1.0}",1684724933.559271,1684724963.5983436
1684724963.5988362,89324.0,0.12,0.468,0.094,"{'root--consul': 0.0, 'root--frontend': 1.0, 'root--geo': 0.0, 'root--jaeger': 0.0, 'root--memcached-profile': 0.0, 'root--memcached-rate': 1.0, 'root--memcached-reserve': 0.0, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 0.0, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 1.0, 'root--mongodb-reservation': 1.0, 'root--mongodb-user': 0.0, 'root--profile': 0.0, 'root--rate': 1.0, 'root--recommendation': 0.0, 'root--reservation': 0.0, 'root--search': 0.0, 'root--user': 1.0}",1684724963.5988362,1684724993.6370928
1684724993.637607,89324.0,0.127,0.504,0.152,"{'root--consul': 0.0, 'root--frontend': 1.0, 'root--geo': 0.0, 'root--jaeger': 0.0, 'root--memcached-profile': 0.0, 'root--memcached-rate': 1.0, 'root--memcached-reserve': 0.0, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 0.0, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 1.0, 'root--mongodb-reservation': 1.0, 'root--mongodb-user': 0.0, 'root--profile': 0.0, 'root--rate': 1.0, 'root--recommendation': 0.0, 'root--reservation': 0.0, 'root--search': 0.0, 'root--user': 1.0}",1684724993.637607,1684725023.682283
1684725023.6827886,3888.0,-1.0,0.0,-1.0,"{'root--consul': 0.0, 'root--frontend': 0.06557377049180328, 'root--geo': 0.0, 'root--jaeger': 0.0, 'root--memcached-profile': 0.45901639344262296, 'root--memcached-rate': 0.06557377049180328, 'root--memcached-reserve': 0.0, 'root--mongodb-geo': 0.06557377049180328, 'root--mongodb-profile': 0.0, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 0.06557377049180328, 'root--mongodb-reservation': 0.09836065573770492, 'root--mongodb-user': 0.6885245901639344, 'root--profile': 0.0, 'root--rate': 0.09836065573770492, 'root--recommendation': 0.0, 'root--reservation': 0.0, 'root--search': 0.0, 'root--user': 0.09836065573770492}",1684725023.6827886,1684725054.2232873
1684725409.4982176,89326.0,0.118,0.427,0.098,"{'root--consul': 0.0, 'root--frontend': 1.0, 'root--geo': 0.2833333333333333, 'root--jaeger': 0.0, 'root--memcached-profile': 1.0, 'root--memcached-rate': 1.0, 'root--memcached-reserve': 0.0, 'root--mongodb-geo': 0.0, 'root--mongodb-profile': 1.0, 'root--mongodb-rate': 0.0, 'root--mongodb-recommendation': 0.0, 'root--mongodb-reservation': 0.0, 'root--mongodb-user': 0.0, 'root--profile': 0.0, 'root--rate': 0.0, 'root--recommendation': 0.45, 'root--reservation': 0.0, 'root--search': 0.0, 'root--user': 1.0}",1684725409.4982176,1684725439.5447614
1684725439.5452726,89324.0,0.116,0.42,0.08,"{'root--consul': 0.0, 'root--frontend': 1.0, 'root--geo': 0.2, 'root--jaeger': 0.0, 'root--memcached-profile': 1.0, 'root--memcached-rate': 1.0, 'root--memcached-reserve': 0.0, 'root--mongodb-geo': 0.0, 'root--mongodb-profile': 1.0, 'root--mongodb-rate': 0.0, 'root--mongodb-recommendation': 0.0, 'root--mongodb-reservation': 0.0, 'root--mongodb-user': 0.0, 'root--profile': 0.06666666666666667, 'root--rate': 0.0, 'root--recommendation': 0.38333333333333336, 'root--reservation': 0.0, 'root--search': 0.0, 'root--user': 1.0}",1684725439.5452726,1684725469.583975
1684725469.5844524,89326.0,0.116,0.424,0.09,"{'root--consul': 0.0, 'root--frontend': 1.0, 'root--geo': 0.47540983606557374, 'root--jaeger': 0.0, 'root--memcached-profile': 1.0, 'root--memcached-rate': 1.0, 'root--memcached-reserve': 0.0, 'root--mongodb-geo': 0.0, 'root--mongodb-profile': 1.0, 'root--mongodb-rate': 0.0, 'root--mongodb-recommendation': 0.0, 'root--mongodb-reservation': 0.0, 'root--mongodb-user': 0.0, 'root--profile': 0.03278688524590164, 'root--rate': 0.0, 'root--recommendation': 0.11475409836065574, 'root--reservation': 0.0, 'root--search': 0.0, 'root--user': 1.0}",1684725469.5844524,1684725500.108296
