,load,avg_latency,p99,stddev_latency,allocs,event_start_time,event_end_time
1684762169.9118702,89317.0,318.595,2800.0,713.596,"{'root--consul': 0.23333333333333334, 'root--frontend': 1.0, 'root--geo': 0.23333333333333334, 'root--jaeger': 0.23333333333333334, 'root--memcached-profile': 1.0, 'root--memcached-rate': 0.23333333333333334, 'root--memcached-reserve': 1.0, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 0.23333333333333334, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 1.0, 'root--mongodb-reservation': 0.23333333333333334, 'root--mongodb-user': 1.0, 'root--profile': 0.23333333333333334, 'root--rate': 0.23333333333333334, 'root--recommendation': 0.26666666666666666, 'root--reservation': 0.26666666666666666, 'root--search': 1.0, 'root--user': 0.26666666666666666}",1684762169.9118702,1684762199.9505963
1684762199.9511569,89327.0,0.302,1.05,0.251,"{'root--consul': 0.0, 'root--frontend': 1.0, 'root--geo': 0.0, 'root--jaeger': 0.0, 'root--memcached-profile': 1.0, 'root--memcached-rate': 0.0, 'root--memcached-reserve': 1.0, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 0.0, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 1.0, 'root--mongodb-reservation': 0.0, 'root--mongodb-user': 1.0, 'root--profile': 0.0, 'root--rate': 0.0, 'root--recommendation': 0.0, 'root--reservation': 0.0, 'root--search': 1.0, 'root--user': 0.0}",1684762199.9511569,1684762229.978706
1684762229.9792309,89327.0,0.306,1.05,0.304,"{'root--consul': 0.0, 'root--frontend': 1.0, 'root--geo': 0.0, 'root--jaeger': 0.0, 'root--memcached-profile': 1.0, 'root--memcached-rate': 0.0, 'root--memcached-reserve': 1.0, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 0.0, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 1.0, 'root--mongodb-reservation': 0.0, 'root--mongodb-user': 1.0, 'root--profile': 0.0, 'root--rate': 0.0, 'root--recommendation': 0.0, 'root--reservation': 0.0, 'root--search': 1.0, 'root--user': 0.0}",1684762229.9792309,1684762260.0139794
1684762260.0144775,89325.0,0.303,1.03,0.256,"{'root--consul': 0.0, 'root--frontend': 1.0, 'root--geo': 0.0, 'root--jaeger': 0.0, 'root--memcached-profile': 1.0, 'root--memcached-rate': 0.0, 'root--memcached-reserve': 1.0, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 0.0, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 1.0, 'root--mongodb-reservation': 0.0, 'root--mongodb-user': 1.0, 'root--profile': 0.0, 'root--rate': 0.0, 'root--recommendation': 0.0, 'root--reservation': 0.0, 'root--search': 1.0, 'root--user': 0.0}",1684762260.0144775,1684762290.0574687
1684762290.057976,89329.0,0.304,1.02,0.255,"{'root--consul': 0.0, 'root--frontend': 1.0, 'root--geo': 0.0, 'root--jaeger': 0.0, 'root--memcached-profile': 1.0, 'root--memcached-rate': 0.0, 'root--memcached-reserve': 1.0, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 0.0, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 1.0, 'root--mongodb-reservation': 0.0, 'root--mongodb-user': 1.0, 'root--profile': 0.0, 'root--rate': 0.0, 'root--recommendation': 0.0, 'root--reservation': 0.0, 'root--search': 1.0, 'root--user': 0.0}",1684762290.057976,1684762320.0909867
1684762320.0920265,47713.0,0.301,0.99,0.24,"{'root--consul': 0.0, 'root--frontend': 0.5409836065573771, 'root--geo': 0.0, 'root--jaeger': 0.0, 'root--memcached-profile': 0.5409836065573771, 'root--memcached-rate': 0.0, 'root--memcached-reserve': 0.5737704918032787, 'root--mongodb-geo': 0.5737704918032787, 'root--mongodb-profile': 0.19672131147540983, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 0.5737704918032787, 'root--mongodb-reservation': 0.19672131147540983, 'root--mongodb-user': 0.5737704918032787, 'root--profile': 0.0, 'root--rate': 0.0, 'root--recommendation': 0.0, 'root--reservation': 0.0, 'root--search': 1.0, 'root--user': 0.0}",1684762320.0920265,1684762350.6285255
1684763003.6053038,89326.0,0.119,0.431,0.112,"{'root--consul': 0.0, 'root--frontend': 1.0, 'root--geo': 0.03333333333333333, 'root--jaeger': 0.0, 'root--memcached-profile': 0.0, 'root--memcached-rate': 0.0, 'root--memcached-reserve': 0.0, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 0.0, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 0.0, 'root--mongodb-reservation': 0.0, 'root--mongodb-user': 0.0, 'root--profile': 0.0, 'root--rate': 0.0, 'root--recommendation': 0.0, 'root--reservation': 0.5166666666666667, 'root--search': 0.0, 'root--user': 0.0}",1684763003.6053038,1684763033.6327112
1684763033.6347592,89326.0,0.119,0.429,0.098,"{'root--consul': 0.0, 'root--frontend': 1.0, 'root--geo': 0.0, 'root--jaeger': 0.0, 'root--memcached-profile': 0.0, 'root--memcached-rate': 0.0, 'root--memcached-reserve': 1.3833333333333333, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 0.0, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 0.0, 'root--mongodb-reservation': 0.0, 'root--mongodb-user': 0.0, 'root--profile': 0.0, 'root--rate': 0.0, 'root--recommendation': 0.0, 'root--reservation': 0.0, 'root--search': 0.0, 'root--user': 0.0}",1684763033.6347592,1684763063.670766
1684763063.6712592,89328.0,0.122,0.435,0.163,"{'root--consul': 0.0, 'root--frontend': 1.0, 'root--geo': 0.0, 'root--jaeger': 0.0, 'root--memcached-profile': 0.0, 'root--memcached-rate': 1.05, 'root--memcached-reserve': 2.0, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 0.0, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 0.0, 'root--mongodb-reservation': 0.0, 'root--mongodb-user': 0.0, 'root--profile': 0.0, 'root--rate': 0.0, 'root--recommendation': 0.5166666666666667, 'root--reservation': 0.0, 'root--search': 0.0, 'root--user': 0.0}",1684763063.6712592,1684763093.7159839
1684763093.7164834,89325.0,0.119,0.44,0.103,"{'root--consul': 0.0, 'root--frontend': 1.0, 'root--geo': 0.0, 'root--jaeger': 0.0, 'root--memcached-profile': 0.0, 'root--memcached-rate': 2.0, 'root--memcached-reserve': 2.0, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 0.0, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 0.0, 'root--mongodb-reservation': 0.0, 'root--mongodb-user': 0.0, 'root--profile': 0.0, 'root--rate': 0.0, 'root--recommendation': 0.48333333333333334, 'root--reservation': 0.0, 'root--search': 0.0, 'root--user': 0.13333333333333333}",1684763093.7164834,1684763123.7507703
